time,rpm,voltage
5658488,170,10.25
5659248,170,10.62
5660016,170,10.28
5660784,170,10.25
5661544,170,10.25
5662312,170,10.25
5663080,170,10.25
5663840,170,10.4
5664648,170,10.3
5665376,170,10.28
5666136,170,10.25
5666904,170,10.25
5667664,170,10.28
5668432,170,10.25
5669192,170,10.84
5669960,170,10.25
5670728,170,10.28
5671488,170,10.25
5672256,170,10.25
5673024,170,10.25
5673784,170,10.25
5674552,170,10.57
5675320,170,10.28
5676080,170,10.25
5676848,170,10.25
5677608,170,10.28
5678376,170,10.25
5679144,170,10.52
5679904,185,10.3
5680672,185,10.25
5681440,185,10.25
5682200,185,10.25
5682968,185,10.28
5683728,185,10.28
5684496,185,10.82
5685264,185,10.25
5686024,185,10.25
5686792,185,10.25
5687560,185,10.25
5688324,185,10.25
5689088,185,10.25
5689896,185,10.55
5690616,185,10.28
5691384,185,10.25
5692144,185,10.25
5692912,185,10.28
5693680,185,10.28
5694440,185,10.62
5695208,185,10.28
5695968,185,10.25
5696736,185,10.25
5697504,185,10.25
5698264,185,10.28
5699032,185,10.25
5699800,185,10.82
5700560,185,10.25
5701328,185,10.25
5702088,185,10.25
5702856,185,10.25
5703624,185,10.25
5704384,185,10.25
5705152,185,10.5
5705920,185,10.28
5706680,185,10.25
5707448,175,10.25
5708216,175,10.25
5708976,175,10.25
5709744,175,10.64
5710504,175,10.28
5711272,175,10.28
5712080,175,10.25
5712800,175,10.25
5713568,175,10.28
5714336,175,10.25
5715096,175,10.79
5715864,175,10.25
5716624,175,10.25
5717384,175,10.25
5718160,175,10.25
5718920,175,10.25
5719688,175,10.25
5720456,175,10.45
5721224,175,10.28
5721984,175,10.25
5722744,175,10.25
5723512,175,10.28
5724280,175,10.25
5725040,175,10.72
5725808,175,10.28
5726568,175,10.28
5727336,175,10.25
5728104,175,10.25
5728864,175,10.28
5729632,175,10.25
5730400,175,10.79
5731160,175,10.25
5731928,175,10.25
5732688,191,10.25
5733456,191,10.25
5734224,191,10.25
5734984,191,10.25
5735752,191,10.42
5736520,191,10.25
5737320,191,10.25
5738048,191,10.25
5738808,191,10.28
5739576,191,10.28
5740344,191,10.79
